"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ABCA8",-4.70255075706427,6.17524656123494,-36.7226082454727,1.06660546775938e-45,1.95615442787071e-41,93.3773465900173,"Downregulated"
"CEMIP",3.40535047073696,6.20125365368596,32.3934014557518,2.76593502797249e-42,2.53636242065078e-38,85.8108209769356,"Upregulated"
"AXIN2",2.13066535442222,7.04738862556917,28.4329255409129,8.66870737795398e-39,5.29946977705587e-35,77.9784677470922,"Upregulated"
"GTF2IRD1",1.6665768045777,7.81404411441235,28.2480064624813,1.29191924650879e-38,5.92344974524278e-35,77.5883975244945,"Upregulated"
"GUCA2B",-4.72746117281431,7.64278205341876,-27.9575458464631,2.4286787515767e-38,8.90839366078335e-35,76.9709687800551,"Downregulated"
"CHGA",-3.9413136601253,8.52421002946743,-27.0388341167752,1.85596638736208e-37,5.67307059070343e-34,74.9791007290897,"Downregulated"
"LPAR1",-1.50784454405426,6.88894446659366,-26.1931944532569,1.27059641831934e-36,3.02822895835137e-33,73.0913976354269,"Downregulated"
"NPM1",0.91247671764493,11.4704643792247,26.1763456635663,1.32092866231249e-36,3.02822895835137e-33,73.0532411786826,"Not Significant"
"ABCG2",-4.46497457830654,6.6991733605475,-25.980749469785,2.07683252519474e-36,4.23212316800794e-33,72.6086975135972,"Downregulated"
"CD44",1.54585187637093,7.35804173925499,25.351821480384,9.0712337695044e-36,1.66366427332711e-32,71.1591702090766,"Upregulated"
"EDN3",-2.54441557482242,6.10077548364107,-25.1805484186577,1.3623138723404e-35,2.27134876533844e-32,70.7590135740147,"Downregulated"
"PAG1",-2.33278604751283,7.75482446536314,-24.9839889721392,2.17857100774144e-35,3.32958269016484e-32,70.2968716847203,"Downregulated"
"NOB1",1.26041859027071,8.57577008189087,24.4992525297122,7.02439956990393e-35,9.90980677784908e-32,69.1436982425364,"Upregulated"
"GALNT6",2.07419604936559,7.23844208524369,24.297531279222,1.14970283299706e-34,1.50611071122615e-31,68.6580661364581,"Upregulated"
"ADAMDEC1",-3.97562061122172,10.1267957209166,-24.1996571481525,1.46190730432739e-34,1.78742533075763e-31,68.4212065192189,"Downregulated"
"AQP8",-5.62062459800327,9.14185518114941,-24.0756972615388,1.98402623228592e-34,2.27419006875773e-31,68.1200527825932,"Downregulated"
"TEAD4",1.41002332147777,5.97289670447964,23.6567469421077,5.6215863083393e-34,6.06469958205546e-31,67.092484245232,"Upregulated"
"RNF43",1.71191204320011,8.58500610876143,23.3277908881234,1.28671060522513e-33,1.31101513887938e-30,66.2749318990506,"Upregulated"
"ANXA3",2.00388623276376,8.62733477694777,22.9907662324367,3.03449162900544e-33,2.92908297241893e-30,65.4273595580086,"Upregulated"
"PYY",-3.86427343717343,6.72691718981078,-22.9370756085752,3.48208256251872e-33,3.19306970982966e-30,65.2913911168069,"Downregulated"
"UTP4",1.29319117263401,8.6286548332889,22.6421334821982,7.44804141382028e-33,6.50462283473638e-30,64.5397844219456,"Upregulated"
"GCG",-6.64192818372477,7.4768196232602,-22.3917377758527,1.42889916611069e-32,1.16494373462545e-29,63.8954108275084,"Downregulated"
"IMPDH2",1.05933338253579,11.0155139617883,22.3832521741172,1.46094361485198e-32,1.16494373462545e-29,63.873471679425,"Upregulated"
"APPL2",-1.48484060040632,8.63344944328735,-22.3294209267127,1.68190735602293e-32,1.28525753789419e-29,63.7341365514062,"Downregulated"
"FOXQ1",4.82407329582235,7.50338565316936,21.9482600087946,4.5939531644501e-32,3.26653400287995e-29,62.7397390838829,"Upregulated"
